,name,playtime,number of platforms,platforms,number of stores,stores,genres,release date,rating,max rating,rating count,metacritic score,added
2183,The Trap,0,1,['Web'],1,['itch.io'],['Platformer'],2019-12-16,0.0,0,0,,"{'owned': 1, 'dropped': 1}"
2184,Dash 'em,0,3,"['PC', 'Apple Macintosh', 'Linux']",1,['itch.io'],['Puzzle'],2019-12-16,0.0,0,0,,"{'owned': 1, 'dropped': 1}"
2185,Super Mario Bros. Remake,0,1,['PC'],1,['itch.io'],['Platformer'],2019-10-25,0.0,0,0,,"{'owned': 1, 'dropped': 1}"
2186,Tetrablock,0,3,"['PC', 'Apple Macintosh', 'Linux']",1,['itch.io'],['Puzzle'],2019-06-08,0.0,0,1,,{'owned': 2}
2187,Indiana Jones & Emperor's Tomb,0,1,['Xbox'],1,['Xbox 360 Store'],['Action'],2019-06-10,0.0,0,1,,"{'owned': 1, 'beaten': 1}"
2188,Cyclomadron Carnage,0,1,['PC'],1,['itch.io'],['Platformer'],2019-06-14,0.0,0,1,,{'owned': 2}
2189,No. 10,0,1,['Web'],1,['itch.io'],[],2019-07-19,0.0,0,0,,"{'owned': 1, 'beaten': 1}"
2190,"Oh, Deer! (itch)",0,1,['PC'],1,['itch.io'],['Action'],2019-05-08,0.0,0,0,,"{'yet': 1, 'owned': 1}"
2191,Самая обычная игра про самую обычную потерю,0,2,"['PC', 'Apple Macintosh']",1,['itch.io'],[],2019-04-14,0.0,0,1,,"{'yet': 1, 'owned': 1}"
2192,Soviet Souls,0,3,"['PC', 'Apple Macintosh', 'Linux']",1,['Steam'],"['Indie', 'Adventure', 'Action']",2019-05-07,0.0,0,1,,{'owned': 2}
2193,Neko Navy Daydream Edition,0,1,['Nintendo'],None,None,"['Shooter', 'Action']",2019-01-10,0.0,0,0,,{'owned': 2}
2194,Night Catcher,0,1,['PC'],1,['Steam'],['Indie'],2019-03-22,0.0,0,1,,"{'owned': 1, 'dropped': 1}"
2195,Hampton Court,0,2,"['PC', 'Apple Macintosh']",1,['itch.io'],[],2019-01-11,0.0,0,1,,"{'owned': 1, 'beaten': 1}"
2196,Cyberdrome,0,1,['PC'],1,['Steam'],"['Indie', 'Adventure', 'Action']",2019-01-01,0.0,0,0,,{'owned': 2}
2197,Paladins Future's End Pack,0,1,['Xbox'],1,['Xbox Store'],[],2019-04-02,0.0,0,1,,"{'owned': 1, 'dropped': 1}"
2198,Pawnbarian,0,2,"['PC', 'Web']",2,"['Steam', 'itch.io']","['RPG', 'Puzzle', 'Casual', 'Strategy', 'Indie']",2019-03-09,0.0,0,0,,{'toplay': 2}
2199,Red and Blue ~ Cycles of Existence,0,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'itch.io']","['Casual', 'Indie']",2019-11-21,0.0,0,0,,{'owned': 2}
2200,WarriOrb: Prologue (itch),0,2,"['PC', 'Linux']",1,['itch.io'],"['Platformer', 'Adventure', 'Action', 'RPG']",2019-12-12,0.0,0,0,,"{'owned': 1, 'playing': 1}"
2201,Only In Darkness,0,1,['PC'],1,['itch.io'],"['Action', 'Puzzle']",2019-10-30,0.0,0,1,,"{'owned': 1, 'playing': 1}"
2202,Why Is There A Girl In My House?!,0,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'itch.io']","['Casual', 'Simulation']",2019-11-01,0.0,0,0,,{'owned': 2}
