,name,number of platforms,platforms,number of stores,stores,number of genres,genres,tags,release date,rating,max rating,rating count,metacritic score,added,month
20,Just Cause 3,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Shooter', 'Action']","['Full controller support', 'Steam Achievements', 'Atmospheric', 'Comedy', 'Co-op', 'Destruction', 'Exploration', 'Funny', 'Great Soundtrack', 'Moddable', 'Multiplayer', 'Open World', 'Parkour', 'Physics', 'RPG', 'Sandbox', 'Singleplayer', 'Third Person', 'Third-Person Shooter', 'cooperative', 'steam-trading-cards']",2015-11-30,3.31,3,942,74,"{'yet': 254, 'owned': 3949, 'beaten': 355, 'toplay': 73, 'dropped': 454, 'playing': 56}",11
21,Mad Max,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'Xbox 360 Store']",1,['Action'],"['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Driving', 'Exploration', 'First-Person', 'Multiplayer', 'Open World', 'Post-apocalyptic', 'RPG', 'Sandbox', 'Sci-fi', 'Singleplayer', 'Story Rich', 'Survival', 'Third Person', 'Third-Person Shooter', 'War', 'steam-trading-cards']",2015-09-01,3.71,4,1081,73,"{'yet': 270, 'owned': 3661, 'beaten': 561, 'toplay': 132, 'dropped': 424, 'playing': 78}",9
22,Don't Starve Together,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux']",1,['Steam'],3,"['Indie', 'Action', 'Simulation']","['Cross-Platform Multiplayer', '2D', 'Full controller support', 'Atmospheric', 'Steam Workshop', 'Co-op', 'Crafting', 'Difficult', 'Funny', 'Horror', 'Multiplayer', 'Online Co-Op', 'Open World', 'Sandbox', 'Singleplayer', 'Survival', 'Survival Horror', 'cooperative', 'Roguelike', 'steam-trading-cards']",2016-04-21,3.8,4,715,83,"{'yet': 175, 'owned': 3957, 'beaten': 157, 'toplay': 50, 'dropped': 512, 'playing': 94}",4
23,Hellblade: Senua's Sacrifice,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",3,"['Indie', 'Adventure', 'Action']","['Full controller support', 'Action-Adventure', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Blood', 'Dark', 'Dark Fantasy', 'Fantasy', 'Female Protagonist', 'Hack and Slash', 'Horror', 'Mythology', 'Psychological', 'Realistic', 'Singleplayer', 'Story Rich', 'Third Person', 'Violent', 'Walking Simulator', 'steam-trading-cards']",2017-08-07,4.31,5,1196,83,"{'yet': 325, 'owned': 2857, 'beaten': 884, 'toplay': 529, 'dropped': 205, 'playing': 133}",8
24,MORTAL KOMBAT X,5,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'Google Play']",2,"['Action', 'Fighting']","['2.5D', '2D Fighter', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Leaderboards', 'Blood', 'Competitive', 'Fantasy', 'Female Protagonist', 'Gore', 'Great Soundtrack', 'Horror', 'Local Multiplayer', 'Mature', 'Multiplayer', 'Online Co-Op', 'Singleplayer', 'Third Person', 'Violent', 'steam-trading-cards']",2015-04-07,3.86,4,1250,76,"{'yet': 115, 'owned': 3699, 'beaten': 580, 'toplay': 69, 'dropped': 367, 'playing': 95}",4
25,Detroit: Become Human,2,"['PC', 'PlayStation']",3,"['Steam', 'PlayStation Store', 'Epic Games']",2,"['Adventure', 'Action']","['Action-Adventure', 'America', 'Atmospheric', 'Cinematic', 'Detective', 'Drama', 'Exploration', 'Futuristic', 'Robots', 'Sci-fi', 'Singleplayer', 'Story Rich', '3rd-Person Perspective', 'futurism', 'european', 'exclusive']",2018-05-25,4.26,4,1526,79,"{'yet': 298, 'owned': 2486, 'beaten': 1225, 'toplay': 603, 'dropped': 78, 'playing': 125}",5
26,Hollow Knight,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",3,"['Platformer', 'Indie', 'Action']","['2D', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Controller', 'Cute', 'Dark Fantasy', 'Difficult', 'Exploration', 'Gothic', 'Great Soundtrack', 'Hand-drawn', 'Metroidvania', 'Multiple Endings', 'Open World', 'Side Scroller', 'Singleplayer', 'Story Rich', 'controller support', 'steam-trading-cards']",2017-02-23,4.39,5,1236,88,"{'yet': 379, 'owned': 2747, 'beaten': 600, 'toplay': 382, 'dropped': 331, 'playing': 337}",2
27,Layers of Fear,6,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Linux']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Epic Games']",2,"['Indie', 'Adventure']","['Full controller support', 'Partial Controller Support', 'Steam Cloud', 'Atmospheric', 'Dark', 'Exploration', 'First-Person', 'Great Soundtrack', 'Horror', 'Lovecraftian', 'Mystery', 'Point & Click', 'Psychedelic', 'Short', 'Singleplayer', 'Story Rich', 'Surreal', 'Survival Horror', 'Walking Simulator', 'steam-trading-cards']",2016-02-16,3.49,4,669,72,"{'yet': 427, 'owned': 3712, 'beaten': 414, 'toplay': 68, 'dropped': 124, 'playing': 24}",2
28,The Elder Scrolls V: Skyrim Special Edition,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Action', 'RPG']","['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Character Customization', 'Classic', 'Dragons', 'Fantasy', 'Female Protagonist', 'First-Person', 'Great Soundtrack', 'Magic', 'Moddable', 'Open World', 'Remake', 'RPG', 'Singleplayer', 'Stealth', 'Story Rich', 'Third Person', 'Walking Simulator']",2016-10-27,4.43,5,1083,74,"{'yet': 171, 'owned': 3318, 'beaten': 715, 'toplay': 74, 'dropped': 230, 'playing': 148}",10
29,Stardew Valley,9,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Linux', 'Nintendo']",7,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Nintendo Store', 'Google Play']",3,"['Indie', 'RPG', 'Simulation']","['2D', 'Agriculture', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Building', 'Crafting', 'Cute', 'Dating Sim', 'Fishing', 'Great Soundtrack', 'Multiplayer', 'Open World', 'Pixel Graphics', 'Relaxing', 'Retro', 'RPG', 'Sandbox', 'Singleplayer', 'overlay', 'cloud saves', 'role-playing', 'steam-trading-cards']",2016-02-25,4.39,5,1146,89,"{'yet': 251, 'owned': 2937, 'beaten': 421, 'toplay': 200, 'dropped': 489, 'playing': 355}",2
