,name,number of platforms,platforms,number of stores,stores,number of genres,genres,tags,release date,rating,max rating,rating count,metacritic score,added,month
632,Day of Infamy,3,"['PC', 'Apple Macintosh', 'Linux']",1,['Steam'],3,"['Shooter', 'Indie', 'Action']","['Includes level editor', 'Includes Source SDK', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Steam Workshop', 'Co-op', 'First-Person', 'FPS', 'Gore', 'Historical', 'Military', 'Multiplayer', 'Online Co-Op', 'Open World', 'Realistic', 'Singleplayer', 'Survival', 'Tactical', 'War', 'World War II', 'Online multiplayer', 'cooperative', 'stats']",2017-03-23,3.93,4,43,77,"{'yet': 15, 'owned': 396, 'beaten': 10, 'toplay': 6, 'dropped': 25, 'playing': 4}",3
633,The Jackbox Party Pack 4,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store', 'Epic Games']",3,"['Casual', 'Strategy', 'Indie']","['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Multiplayer', 'Singleplayer', 'cooperative', 'party', 'steam-trading-cards']",2017-10-17,4.07,4,85,78,"{'yet': 4, 'owned': 372, 'beaten': 29, 'toplay': 5, 'dropped': 30, 'playing': 16}",10
634,Duke Nukem 3D: 20th Anniversary World Tour,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Adventure', 'Action']","[""1990's"", 'Aliens', 'Partial Controller Support', 'Steam Achievements', 'Steam Workshop', 'Classic', 'Comedy', 'Co-op', 'First-Person', 'FPS', 'Funny', 'Gore', 'Great Soundtrack', 'Memes', 'Multiplayer', 'Nudity', 'Online Co-Op', 'Remake', 'Retro', 'Singleplayer', 'Online multiplayer', 'cooperative', 'steam-trading-cards']",2016-10-11,4.14,4,58,72,"{'yet': 15, 'owned': 384, 'beaten': 33, 'toplay': 6, 'dropped': 8, 'playing': 8}",10
635,PLANET ALPHA,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",4,"['Indie', 'Platformer', 'Adventure', 'Action']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Singleplayer', 'steam-trading-cards']",2018-09-03,3.47,4,30,71,"{'yet': 41, 'owned': 375, 'beaten': 12, 'toplay': 16, 'dropped': 7, 'playing': 3}",9
636,Observation,3,"['PC', 'PlayStation', 'Xbox']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Epic Games']",2,"['Indie', 'Adventure']","['Full controller support', 'Singleplayer']",2019-05-21,3.93,4,96,77,"{'yet': 37, 'owned': 177, 'beaten': 75, 'toplay': 140, 'dropped': 10, 'playing': 11}",5
637,FAR: Lone Sails,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",3,"['Indie', 'Adventure', 'Action']","['2.5D', 'Full controller support', 'Action-Adventure', 'Atmospheric', 'Design & Illustration', 'Driving', 'Exploration', 'Great Soundtrack', 'Post-apocalyptic', 'Puzzle-Platformer', 'Short', 'Singleplayer', 'Story Rich', 'Survival', 'nature']",2018-05-16,4.27,4,135,84,"{'yet': 16, 'owned': 253, 'beaten': 97, 'toplay': 66, 'dropped': 12, 'playing': 4}",5
638,The Sinking City,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store', 'Epic Games']",2,"['Adventure', 'Action']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Detective', 'Gore', 'Horror', 'Lovecraftian', 'Noir', 'Singleplayer', 'Thriller', 'Violent', 'role-playing']",2019-06-25,3.23,3,110,66,"{'yet': 51, 'owned': 101, 'beaten': 38, 'toplay': 210, 'dropped': 37, 'playing': 11}",6
639,Kenshi,1,['PC'],2,"['Steam', 'GOG']",5,"['Action', 'RPG', 'Strategy', 'Simulation', 'Indie']","['Includes level editor', 'Alternate History', 'Base Building', 'Steam Workshop', 'Building', 'City Builder', 'Crafting', 'Early Access', 'Management', 'Ninja', 'Open World', 'Post-apocalyptic', 'RPG', 'RTS', 'Sandbox', 'Singleplayer', 'Steampunk', 'Survival', 'in development', 'role-playing']",2018-12-06,4.12,5,57,75,"{'yet': 20, 'owned': 361, 'beaten': 13, 'toplay': 17, 'dropped': 20, 'playing': 16}",12
640,World to the West,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",5,"['Adventure', 'Action', 'RPG', 'Indie', 'Platformer']","['Full controller support', 'Action-Adventure', 'Action RPG', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Character Action Game', 'Controller', 'Exploration', 'Funny', 'Retro', 'RPG', 'Singleplayer', 'Story Rich', 'Top-Down', 'achievements', 'steam-trading-cards']",2017-05-04,2.88,3,16,75,"{'yet': 43, 'owned': 381, 'beaten': 5, 'toplay': 3, 'dropped': 8, 'playing': 4}",5
641,Override: Mech City Brawl,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Indie', 'Action']","['Full controller support', 'Steam Achievements', ""Beat 'em up"", 'Co-op', 'Local Co-Op', 'Local Multiplayer', 'Mechs', 'Multiplayer', 'Online Co-Op', 'Singleplayer', 'Split Screen', 'Online multiplayer', 'cooperative']",2018-12-04,3.0,4,10,64,"{'yet': 27, 'owned': 405, 'toplay': 4, 'dropped': 7, 'playing': 1}",12
642,OneShot,2,"['PC', 'Apple Macintosh']",1,['Steam'],3,"['Casual', 'Indie', 'Adventure']","['2D', 'Partial Controller Support', 'Anime', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Choices Matter', 'Cute', 'Exploration', 'Great Soundtrack', 'Horror', 'Multiple Endings', 'Pixel Graphics', 'Replay Value', 'RPG', 'RPGMaker', 'Singleplayer', 'Story Rich', 'Surreal', 'RPG Maker', 'steam-trading-cards']",2016-12-08,4.13,5,81,84,"{'yet': 33, 'owned': 296, 'beaten': 78, 'toplay': 17, 'dropped': 11, 'playing': 8}",12
643,Shantae: Half-Genie Hero,5,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",4,"['Indie', 'Platformer', 'Adventure', 'Action']","['2.5D', '2D', 'Full controller support', 'Anime', 'Steam Achievements', 'Steam Cloud', 'Comedy', 'Cute', 'Fantasy', 'Female Protagonist', 'Funny', 'Great Soundtrack', 'Hand-drawn', 'Kickstarter', 'Memes', 'Metroidvania', 'Side Scroller', 'Singleplayer', 'steam-trading-cards']",2016-12-20,3.95,4,91,76,"{'yet': 17, 'owned': 302, 'beaten': 63, 'toplay': 29, 'dropped': 22, 'playing': 9}",12
644,Marvel vs. Capcom: Infinite,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Action', 'Fighting']","['2D Fighter', 'Anime', 'Comic Book', 'Competitive', 'Heist', 'Multiplayer', 'Singleplayer', 'Superhero', 'Online multiplayer']",2017-09-19,3.13,4,97,73,"{'yet': 7, 'owned': 355, 'beaten': 30, 'toplay': 13, 'dropped': 32, 'playing': 2}",9
645,"Pokémon Sun, Moon",1,['Nintendo'],1,['Nintendo Store'],2,"['Adventure', 'RPG']","['role-playing', 'exclusive', 'true exclusive']",2016-11-18,3.79,4,204,87,"{'yet': 23, 'owned': 68, 'beaten': 257, 'toplay': 14, 'dropped': 53, 'playing': 23}",11
646,Darksiders Genesis,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",3,"['Adventure', 'Action', 'RPG']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Co-op', 'Gore', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Online Co-Op', 'RPG', 'Singleplayer', 'Split Screen', 'Online multiplayer', 'cooperative', 'Steam Trading Cards']",2019-12-05,3.65,4,58,76,"{'yet': 32, 'owned': 221, 'beaten': 36, 'toplay': 111, 'dropped': 20, 'playing': 16}",12
647,Beholder 2,8,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Linux', 'Nintendo']",7,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Nintendo Store', 'Google Play']",4,"['Indie', 'Strategy', 'Adventure', 'Simulation']","['Singleplayer', 'Violent']",2018-12-04,3.77,4,43,76,"{'yet': 43, 'owned': 328, 'beaten': 14, 'toplay': 32, 'dropped': 15, 'playing': 3}",12
648,Yakuza 6: The Song of Life,1,['PlayStation'],1,['PlayStation Store'],2,"['Adventure', 'Action']","['exclusive', 'true exclusive']",2016-04-17,4.4,5,94,83,"{'yet': 41, 'owned': 203, 'beaten': 60, 'toplay': 109, 'dropped': 8, 'playing': 13}",4
649,UnderRail,1,['PC'],2,"['Steam', 'GOG']",2,"['Indie', 'RPG']","['2D', 'Steam Achievements', 'Atmospheric', 'Crafting', 'CRPG', 'Cyberpunk', 'Isometric', 'Open World', 'Pixel Graphics', 'Post-apocalyptic', 'RPG', 'Sci-fi', 'Singleplayer', 'Turn-Based', 'Turn-Based Combat', 'role-playing']",2015-12-17,4.09,5,30,72,"{'yet': 32, 'owned': 365, 'beaten': 9, 'toplay': 12, 'dropped': 14, 'playing': 2}",12
650,Xenoblade Chronicles 2,1,['Nintendo'],1,['Nintendo Store'],1,['RPG'],"['Anime', 'Open World', 'role-playing', 'exclusive', 'true exclusive']",2017-11-30,4.3,5,166,83,"{'yet': 56, 'owned': 55, 'beaten': 142, 'toplay': 97, 'dropped': 32, 'playing': 52}",11
651,Decay: The Mare,5,"['PC', 'Xbox', 'iOS', 'Apple Macintosh', 'Linux']",3,"['Steam', 'Xbox Store', 'App Store']",3,"['Indie', 'Adventure', 'Puzzle']","['Steam Achievements', 'Steam Cloud', 'Horror', 'Point & Click', 'Singleplayer', 'steam-trading-cards']",2015-02-13,2.71,3,21,60,"{'yet': 24, 'owned': 394, 'beaten': 7, 'dropped': 4, 'playing': 1}",2
652,ICEY,6,"['PC', 'PlayStation', 'iOS', 'Android', 'Apple Macintosh', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'App Store', 'Nintendo Store', 'Google Play']",4,"['Indie', 'Adventure', 'Action', 'RPG']","['2D', 'Full controller support', 'Anime', 'Steam Achievements', 'Steam Cloud', 'Character Action Game', 'Cyberpunk', 'Female Protagonist', 'Great Soundtrack', 'Hack and Slash', 'Metroidvania', 'Multiplayer', 'Narration', 'Nudity', 'RPG', 'Sci-fi', 'Side Scroller', 'Singleplayer', 'Spectacle fighter', 'role-playing', 'steam-trading-cards', 'stats']",2016-11-17,3.41,4,63,84,"{'yet': 33, 'owned': 314, 'beaten': 40, 'toplay': 11, 'dropped': 25, 'playing': 6}",11
653,DEADBOLT,6,"['PC', 'PlayStation', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'GOG', 'Nintendo Store']",2,"['Indie', 'Action']","['2D', 'Includes level editor', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Workshop', 'Blood', 'Difficult', 'Gore', 'Great Soundtrack', 'Horror', 'Pixel Graphics', 'Side Scroller', 'Singleplayer', 'Stealth', 'Vampire', 'Violent', 'Zombies', 'achievements', 'steam-trading-cards']",2016-03-13,3.85,4,52,76,"{'yet': 34, 'owned': 335, 'beaten': 33, 'toplay': 7, 'dropped': 17, 'playing': 3}",3
654,The Surge 2,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",3,"['Adventure', 'Action', 'RPG']","['Full controller support', 'Action-Adventure', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Cyberpunk', 'Futuristic', 'Hack and Slash', 'Mechs', 'RPG', 'Sci-fi', 'Singleplayer', 'Survival', 'Violent', 'Online multiplayer', '3rd-Person Perspective', 'Souls-like', 'steam-trading-cards']",2019-09-24,3.73,4,50,76,"{'yet': 35, 'owned': 216, 'beaten': 19, 'toplay': 124, 'dropped': 30, 'playing': 5}",9
655,Flat Heroes,2,"['PC', 'PlayStation']",3,"['Steam', 'PlayStation Store', 'Nintendo Store']",3,"['Platformer', 'Indie', 'Action']","['2D', 'Partial Controller Support', 'Steam Cloud', 'Local Co-Op', 'Local Multiplayer', 'Minimalist', 'Singleplayer', 'Split Screen', 'party', 'dificult']",2016-09-08,3.19,4,31,82,"{'yet': 23, 'owned': 380, 'beaten': 8, 'toplay': 4, 'dropped': 10, 'playing': 4}",9
656,Slime-san,4,"['PC', 'Apple Macintosh', 'Linux', 'Nintendo']",2,"['Steam', 'Nintendo Store']",3,"['Indie', 'Adventure', 'Action']","['2D', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Fast-Paced', 'Funny', 'Local Co-Op', 'Local Multiplayer', 'Pixel Graphics', 'Singleplayer', 'Split Screen', 'steam-trading-cards']",2017-04-07,2.81,4,21,78,"{'yet': 45, 'owned': 366, 'beaten': 3, 'toplay': 2, 'dropped': 11, 'playing': 2}",4
657,Sayonara Wild Hearts,6,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'Nintendo Store']",1,['Indie'],"['Music', 'Dreams', 'Swords', 'death', 'dance', 'balance', 'lasers']",2019-09-19,4.4,5,123,85,"{'yet': 11, 'owned': 171, 'beaten': 125, 'toplay': 95, 'dropped': 14, 'playing': 11}",9
658,Guild of Dungeoneering,4,"['PC', 'iOS', 'Android', 'Apple Macintosh']",4,"['Steam', 'App Store', 'GOG', 'Google Play']",3,"['Card', 'Indie', 'RPG']","['2D', 'Steam Achievements', 'Card Game', 'Dungeon Crawler', 'Great Soundtrack', 'RPG', 'Singleplayer', 'Turn-Based', 'role-playing', 'Roguelite', 'Roguelike', 'steam-trading-cards']",2015-07-13,3.71,4,33,72,"{'yet': 33, 'owned': 360, 'beaten': 3, 'toplay': 5, 'dropped': 19, 'playing': 2}",7
659,Space Run Galaxy,1,['PC'],1,['Steam'],2,"['Strategy', 'Indie']","['Steam Achievements', 'Steam Cloud', 'Multiplayer', 'Singleplayer', 'Space', 'Tower Defense', 'steam-trading-cards']",2016-06-17,2.29,1,14,75,"{'yet': 26, 'owned': 382, 'beaten': 2, 'toplay': 2, 'dropped': 9}",6
660,Shadwen,4,"['PC', 'PlayStation', 'Apple Macintosh', 'Linux']",3,"['Steam', 'PlayStation Store', 'GOG']",2,"['Adventure', 'Action']","['Full controller support', 'Includes level editor', 'Steam Achievements', 'Assassin', 'Atmospheric', 'Steam Workshop', 'Female Protagonist', 'Level Editor', 'Medieval', 'Physics', 'Singleplayer', 'Stealth', 'Third Person', 'achievements', 'controller support', 'steam-trading-cards']",2016-05-16,3.04,4,19,53,"{'yet': 24, 'owned': 373, 'beaten': 2, 'toplay': 5, 'dropped': 16, 'playing': 1}",5
661,Below,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",3,"['Indie', 'Adventure', 'RPG']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Crafting', 'Difficult', 'Dungeon Crawler', 'Exploration', 'Great Soundtrack', 'Mystery', 'Perma Death', 'RPG', 'Singleplayer', 'Roguelite', 'Roguelike', 'stats']",2018-12-14,3.24,3,105,71,"{'yet': 21, 'owned': 277, 'beaten': 6, 'toplay': 70, 'dropped': 37, 'playing': 8}",12
662,Catherine: Full Body,3,"['PlayStation', 'Nintendo']",1,['PlayStation Store'],4,"['Adventure', 'Action', 'RPG', 'Puzzle']","['Action-Adventure', 'Anime', 'Atmospheric', 'Cinematic', 'Difficult', 'Gore', 'Great Soundtrack', 'Horror', 'Puzzle-Platformer', 'RPG', 'Sexual Content', 'Singleplayer', 'Story Rich', 'Violent', 'interactive-movie', 'japanese-style']",2019-09-03,4.07,5,57,81,"{'yet': 38, 'owned': 141, 'beaten': 39, 'toplay': 179, 'dropped': 10, 'playing': 12}",9
663,Five Nights at Freddy's: Sister Location,3,"['PC', 'iOS', 'Android']",3,"['Steam', 'App Store', 'Google Play']",3,"['Indie', 'Action', 'Simulation']","['Atmospheric', 'Dark', 'Difficult', 'First-Person', 'Funny', 'Gore', 'Horror', 'Lore-Rich', 'Memes', 'Mystery', 'Robots', 'Singleplayer', 'Story Rich', 'Survival', 'Survival Horror']",2016-10-07,2.52,1,21,62,"{'yet': 40, 'owned': 360, 'beaten': 5, 'toplay': 1, 'dropped': 8, 'playing': 1}",10
664,STASIS,2,"['PC', 'Apple Macintosh']",2,"['Steam', 'GOG']",1,['Adventure'],"['2D', 'Captions available', 'Steam Achievements', 'Atmospheric', 'Gore', 'Horror', 'Isometric', 'Kickstarter', 'Point & Click', 'Sci-fi', 'Singleplayer', 'Space', 'Story Rich', 'steam-trading-cards']",2015-08-30,3.63,4,40,79,"{'yet': 25, 'owned': 338, 'beaten': 31, 'toplay': 10, 'dropped': 9}",8
665,The Little Acre,7,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG']",3,"['Family', 'Indie', 'Adventure']","['2D', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Colorful', 'Comedy', 'Fantasy', 'Female Protagonist', 'Funny', 'Hand-drawn', 'Hidden Object', 'Isometric', 'Narration', 'Point & Click', 'Short', 'Singleplayer', 'Story Rich', 'controller support', 'overlay', 'steam-trading-cards']",2016-12-12,3.39,4,28,62,"{'yet': 33, 'owned': 336, 'beaten': 22, 'toplay': 11, 'dropped': 6, 'playing': 3}",12
666,In Between,7,"['PC', 'PlayStation', 'Xbox', 'Android', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store', 'Google Play']",2,"['Indie', 'Adventure']","['2D', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Dark', 'Difficult', 'Great Soundtrack', 'Puzzle-Platformer', 'Singleplayer', 'Story Rich', 'steam-trading-cards']",2015-08-21,2.44,1,17,68,"{'yet': 13, 'owned': 386, 'beaten': 6, 'toplay': 1, 'dropped': 3, 'playing': 1}",8
667,Dead Synchronicity: Tomorrow Comes Today,6,"['PC', 'PlayStation', 'iOS', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'GOG', 'Nintendo Store']",4,"['Indie', 'Adventure', 'Action', 'Puzzle']","['2D', 'Steam Achievements', 'Steam Cloud', 'Other', 'Dark', 'Point & Click', 'Post-apocalyptic', 'Singleplayer', 'achievements', 'steam-trading-cards']",2015-04-09,3.25,4,32,70,"{'yet': 22, 'owned': 352, 'beaten': 30, 'toplay': 5, 'dropped': 1}",4
668,PRO EVOLUTION SOCCER 2019,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Simulation', 'Sports']","['In-App Purchases', 'Partial Controller Support', 'Co-op', 'Football', 'Heist', 'Horror', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Online Co-Op', 'Sexual Content', 'Singleplayer', 'Soccer', 'Online multiplayer', 'cooperative']",2018-08-28,3.39,4,134,80,"{'yet': 6, 'owned': 298, 'beaten': 30, 'toplay': 4, 'dropped': 54, 'playing': 14}",8
669,Hand of Fate 2,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",3,"['Indie', 'Action', 'RPG']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Board Game', 'Card Game', 'Dungeon Crawler', 'RPG', 'Singleplayer', 'role-playing', 'Roguelike']",2017-11-06,3.88,4,73,81,"{'yet': 23, 'owned': 307, 'beaten': 18, 'toplay': 14, 'dropped': 28, 'playing': 13}",11
670,The Messenger (2018),4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store', 'Epic Games']",5,"['Adventure', 'Action', 'RPG', 'Indie', 'Platformer']","['Retro', '8-Bit', '16-bit']",2018-08-30,4.4,5,126,84,"{'yet': 85, 'owned': 54, 'beaten': 97, 'toplay': 101, 'dropped': 35, 'playing': 28}",8
671,Monster Hunter World: Iceborne,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",3,"['Massively Multiplayer', 'Action', 'RPG']","['Anime', 'Dragons', 'Hack and Slash', 'Hunting', 'Open World', 'Third Person', 'coop', 'Monsters']",2019-09-06,4.5,5,61,89,"{'yet': 17, 'owned': 249, 'beaten': 19, 'toplay': 65, 'dropped': 8, 'playing': 41}",9
672,Insurgency: Sandstorm,1,['PC'],1,['Steam'],2,"['Shooter', 'Action']","['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Choices Matter', 'Co-op', 'Cult Classic', 'Difficult', 'Exploration', 'First-Person', 'FPS', 'Gore', 'Military', 'Multiplayer', 'Online Co-Op', 'Open World', 'Realistic', 'RPG', 'Singleplayer', 'Tactical', 'War', 'Online multiplayer', 'cooperative', 'steam-trading-cards']",2018-12-12,4.01,4,84,78,"{'yet': 17, 'owned': 283, 'beaten': 10, 'toplay': 27, 'dropped': 39, 'playing': 23}",12
673,Cibele,2,"['PC', 'Apple Macintosh']",1,['Steam'],1,['Indie'],"['Captions available', 'Female Protagonist', 'FMV', 'Nudity', 'Romance', 'Short', 'Singleplayer', 'Story Rich', 'Walking Simulator']",2015-11-02,2.39,1,31,71,"{'yet': 27, 'owned': 337, 'beaten': 25, 'toplay': 5, 'dropped': 3, 'playing': 1}",11
674,Astro Bot: Rescue Mission,1,['PlayStation'],1,['PlayStation Store'],1,['Adventure'],"['exclusive', 'true exclusive']",2018-10-02,4.19,5,111,90,"{'yet': 11, 'owned': 295, 'beaten': 38, 'toplay': 18, 'dropped': 13, 'playing': 22}",10
675,Job Simulator,2,"['PC', 'PlayStation']",2,"['Steam', 'PlayStation Store']",2,"['Action', 'Simulation']","['Anime', 'Atmospheric', 'Comedy', 'Family Friendly', 'First-Person', 'Free to Play', 'Funny', 'Horror', 'Illuminati', 'Memes', 'Multiplayer', 'SteamVR Collectibles', 'Physics', 'Realistic', 'Robots', 'Sandbox', 'Sci-fi', 'Singleplayer', 'VR']",2016-04-05,3.92,4,81,68,"{'yet': 5, 'owned': 318, 'beaten': 44, 'toplay': 2, 'dropped': 22, 'playing': 5}",4
676,The End Is Nigh,4,"['PC', 'PlayStation', 'Apple Macintosh', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Nintendo Store', 'Epic Games']",3,"['Indie', 'Adventure', 'Action']","['2D', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Difficult', 'Great Soundtrack', 'Pixel Graphics', 'Singleplayer', 'steam-trading-cards']",2017-07-12,3.77,4,75,83,"{'yet': 71, 'owned': 231, 'beaten': 22, 'toplay': 15, 'dropped': 47, 'playing': 9}",7
677,Dungeon Souls,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'GOG']",4,"['Indie', 'Adventure', 'Action', 'RPG']","['2D', 'Partial Controller Support', 'Steam Achievements', 'Bullet Hell', 'Co-op', 'Dungeon Crawler', 'GameMaker', 'Hack and Slash', 'Local Co-Op', 'Perma Death', 'Pixel Graphics', 'Procedural Generation', 'RPG', 'Singleplayer', 'Split Screen', 'Roguelike', 'Roguelite', 'steam-trading-cards']",2016-12-01,3.04,4,24,67,"{'yet': 33, 'owned': 340, 'beaten': 6, 'toplay': 4, 'dropped': 9, 'playing': 1}",12
678,Absolute Drift,5,"['PC', 'iOS', 'Android', 'Apple Macintosh', 'Linux']",3,"['Steam', 'App Store', 'Google Play']",5,"['Racing', 'Action', 'Simulation', 'Sports', 'Indie']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Driving', 'Great Soundtrack', 'Minimalist', 'Physics', 'Singleplayer', 'Top-Down', 'steam-trading-cards', 'stats']",2015-07-29,3.65,4,34,66,"{'yet': 16, 'owned': 344, 'beaten': 9, 'toplay': 2, 'dropped': 14, 'playing': 7}",7
679,Diaries of a Spaceport Janitor,2,"['PC', 'Apple Macintosh']",2,"['Steam', 'itch.io']",5,"['Adventure', 'RPG', 'Casual', 'Simulation', 'Indie']","['Abstract', 'Partial Controller Support', 'Steam Achievements', 'Colorful', 'Exploration', 'Female Protagonist', 'Open World', 'Pixel Graphics', 'Retro', 'RPG', 'Singleplayer', 'weird', 'anti-adventure', 'steam-trading-cards']",2016-09-16,3.48,4,21,69,"{'yet': 32, 'owned': 341, 'beaten': 6, 'toplay': 5, 'dropped': 7, 'playing': 1}",9
680,Tokyo 42,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",3,"['Indie', 'Adventure', 'Action']","['Full controller support', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Cyberpunk', 'Great Soundtrack', 'Isometric', 'Multiplayer', 'Open World', 'Singleplayer', 'Stealth', 'Online multiplayer']",2017-05-30,3.31,4,36,71,"{'yet': 44, 'owned': 307, 'beaten': 6, 'toplay': 10, 'dropped': 22, 'playing': 2}",5
681,Husk,1,['PC'],1,['Steam'],3,"['Indie', 'Adventure', 'Action']","['Partial Controller Support', 'Horror', 'Singleplayer', 'Survival Horror', 'Violent']",2017-02-03,2.36,3,14,44,"{'yet': 29, 'owned': 348, 'beaten': 4, 'toplay': 1, 'dropped': 5}",2
682,The Magic Circle,3,"['PC', 'Apple Macintosh', 'Linux']",1,['Steam'],5,"['Adventure', 'Action', 'Strategy', 'Simulation', 'Indie']","['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Comedy', 'First-Person', 'Satire', 'Singleplayer', 'Story Rich', 'steam-trading-cards']",2015-07-09,3.42,4,35,79,"{'yet': 21, 'owned': 331, 'beaten': 18, 'toplay': 7, 'dropped': 8, 'playing': 1}",7
683,Forgotton Anne,6,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Nintendo Store']",4,"['Casual', 'Indie', 'Adventure', 'Action']","['2D', 'Full controller support', 'Steam Achievements', 'Singleplayer']",2018-05-14,3.87,4,57,80,"{'yet': 33, 'owned': 231, 'beaten': 38, 'toplay': 61, 'dropped': 15, 'playing': 8}",5
684,Death Road to Canada,8,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Linux', 'Nintendo']",7,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Nintendo Store', 'Google Play']",4,"['Indie', 'Adventure', 'Action', 'RPG']","['2D', 'Full controller support', 'Steam Achievements', 'Character Customization', 'Comedy', 'Co-op', 'Difficult', 'Funny', 'Great Soundtrack', 'Local Co-Op', 'Local Multiplayer', 'Memes', 'Multiplayer', 'Pixel Graphics', 'Replay Value', 'RPG', 'Singleplayer', 'Split Screen', 'Survival', 'Zombies', 'controller support', 'overlay', 'cooperative', 'Roguelite', 'Roguelike', 'steam-trading-cards']",2016-07-20,3.8,4,44,91,"{'yet': 32, 'owned': 294, 'beaten': 19, 'toplay': 12, 'dropped': 23, 'playing': 5}",7
