,name,playtime,number of platforms,platforms,number of stores,stores,genres,release date,rating,max rating,rating count,metacritic score,added,month
228,Dark Devotion,2,3,"['PC', 'PlayStation', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'GOG', 'Nintendo Store']","['Indie', 'Adventure', 'Action', 'RPG']",2019-04-25,3.36,3,21,70.0,"{'yet': 13, 'owned': 64, 'beaten': 10, 'toplay': 34, 'dropped': 9, 'playing': 2}",4
234,Ring Fit Adventure,0,1,['Nintendo'],1,['Nintendo Store'],"['Adventure', 'Simulation', 'Sports']",2019-10-18,4.32,5,37,83.0,"{'yet': 4, 'owned': 18, 'beaten': 3, 'toplay': 40, 'dropped': 5, 'playing': 58}",10
235,WHAT THE GOLF?,0,5,"['PC', 'iOS', 'Apple Macintosh', 'Linux', 'Nintendo']",3,"['Steam', 'App Store', 'Epic Games']","['Casual', 'Indie', 'Sports']",2019-09-19,4.18,4,55,82.0,"{'yet': 7, 'owned': 8, 'beaten': 38, 'toplay': 45, 'dropped': 21, 'playing': 9}",9
236,The Hong Kong Massacre,2,2,"['PC', 'PlayStation']",2,"['Steam', 'PlayStation Store']","['Shooter', 'Indie', 'Action']",2019-01-22,3.54,4,24,70.0,"{'yet': 9, 'owned': 73, 'beaten': 9, 'toplay': 27, 'dropped': 6, 'playing': 3}",1
246,Police Stories,2,4,"['PC', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'GOG', 'Nintendo Store', 'itch.io']","['Strategy', 'Indie', 'Action', 'Simulation']",2019-09-18,3.17,4,18,75.0,"{'yet': 4, 'owned': 85, 'beaten': 9, 'toplay': 14, 'dropped': 7, 'playing': 3}",9
249,7th Sector,2,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Indie', 'Adventure']",2019-03-05,3.92,4,13,74.0,"{'yet': 8, 'owned': 88, 'beaten': 6, 'toplay': 8, 'dropped': 8, 'playing': 1}",3
256,The Occupation,1,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Indie', 'Adventure', 'Action']",2019-03-04,3.33,3,18,67.0,"{'yet': 13, 'owned': 37, 'beaten': 8, 'toplay': 52, 'dropped': 6, 'playing': 1}",3
257,Sky: Children of the Light,0,3,"['iOS', 'Android', 'Nintendo']",3,"['App Store', 'Nintendo Store', 'Google Play']","['Family', 'Adventure', 'RPG', 'Puzzle']",2019-07-18,4.15,4,39,81.0,"{'yet': 11, 'owned': 18, 'beaten': 14, 'toplay': 47, 'dropped': 15, 'playing': 11}",7
259,Feudal Alloy,1,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Indie', 'Action', 'RPG']",2019-01-16,3.54,4,13,76.0,"{'yet': 8, 'owned': 62, 'beaten': 5, 'toplay': 31, 'dropped': 9}",1
265,WORLD OF WARSHIPS: LEGENDS,0,2,"['PlayStation', 'Xbox']",2,"['PlayStation Store', 'Xbox Store']",['Action'],2019-04-16,3.5,4,8,82.0,"{'yet': 3, 'owned': 100, 'beaten': 1, 'dropped': 3, 'playing': 4}",4
