name,id,number of platforms,platforms,number of stores,stores,number of genres,genres,tags,release date,rating,max rating,rating count,metacritic score,yet,owned,beaten,toplay,dropped,playing,users,month,year
SKYHILL,6145,7,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Linux', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Nintendo Store']",6,"['Adventure', 'Action', 'RPG', 'Casual', 'Simulation', 'Indie']","['2D', 'Steam Achievements', 'Atmospheric', 'Dark', 'Exploration', 'Horror', 'Point & Click', 'Post-apocalyptic', 'Replay Value', 'RPG', 'Singleplayer', 'Story Rich', 'Survival', 'Turn-Based Combat', 'Turn-Based Strategy', 'Zombies', 'role-playing', 'Roguelike', 'steam-trading-cards']",2015-10-05,3.12,3,42,63,22,423,12,3,14,2,437,10,2015
Duke Nukem 3D: 20th Anniversary World Tour,1105,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Adventure', 'Action']","[""1990's"", 'Aliens', 'Partial Controller Support', 'Steam Achievements', 'Steam Workshop', 'Classic', 'Comedy', 'Co-op', 'First-Person', 'FPS', 'Funny', 'Gore', 'Great Soundtrack', 'Memes', 'Multiplayer', 'Nudity', 'Online Co-Op', 'Remake', 'Retro', 'Singleplayer', 'Online multiplayer', 'cooperative', 'steam-trading-cards']",2016-10-11,4.15,4,60,72,17,401,34,5,8,9,444,10,2016
The Technomancer,2284,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",2,"['Action', 'RPG']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Choices Matter', 'Cyberpunk', 'Great Soundtrack', 'Horror', 'Illuminati', 'Mars', 'Mature', 'Memes', 'Nudity', 'Open World', 'Post-apocalyptic', 'RPG', 'Sci-fi', 'Sexual Content', 'Singleplayer', 'Story Rich', 'Third Person', 'steam-trading-cards', 'LGBTQ+']",2016-06-27,2.98,3,81,56,32,366,27,15,31,2,395,6,2016
Pinstripe,9690,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",5,"['Adventure', 'Puzzle', 'Casual', 'Indie', 'Platformer']","['2D', 'Captions available', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Dark', 'Great Soundtrack', 'Horror', 'Kickstarter', 'Puzzle-Platformer', ""Shoot 'Em Up"", 'Short', 'Side Scroller', 'Singleplayer', 'Story Rich', 'controller support', 'cloud saves', 'steam-trading-cards']",2017-04-24,3.28,4,46,70,29,394,27,8,9,3,424,4,2017
Age of Wonders: Planetfall,60028,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",1,['Strategy'],"['4X', 'Steam Achievements', 'Economy', 'Multiplayer', 'Politics', 'Sci-fi', 'Singleplayer', 'Turn-Based Strategy', 'Online multiplayer', 'cooperative']",2019-08-05,3.68,4,47,81,24,348,5,56,22,11,364,8,2019
WASTED,18716,1,['PC'],1,['Steam'],3,"['Indie', 'Action', 'RPG']","['1980s', 'Captions available', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Comedy', 'Dungeon Crawler', 'FPS', 'Funny', 'Post-apocalyptic', 'RPG', 'Singleplayer', 'Roguelite', 'Roguelike', 'steam-trading-cards']",2016-06-07,2.27,1,15,68,28,424,2,1,10,0,426,6,2016
Valhalla Hills,12636,6,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Linux']",3,"['Steam', 'App Store', 'GOG']",3,"['Strategy', 'Indie', 'Simulation']","['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'City Builder', 'Fantasy', 'Management', 'Mythology', 'Singleplayer', 'steam-trading-cards']",2015-12-01,2.43,1,23,69,24,427,2,1,10,1,430,12,2015
The Jackbox Party Pack 4,47118,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store', 'Epic Games']",3,"['Casual', 'Strategy', 'Indie']","['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Multiplayer', 'Singleplayer', 'cooperative', 'party', 'steam-trading-cards']",2017-10-17,4.07,4,85,78,4,378,29,5,31,16,423,10,2017
FAR: Lone Sails,22256,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",3,"['Indie', 'Adventure', 'Action']","['2.5D', 'Full controller support', 'Action-Adventure', 'Atmospheric', 'Design & Illustration', 'Driving', 'Exploration', 'Great Soundtrack', 'Post-apocalyptic', 'Puzzle-Platformer', 'Short', 'Singleplayer', 'Story Rich', 'Survival', 'nature']",2018-05-16,4.27,4,135,84,16,262,98,69,12,4,364,5,2018
PLANET ALPHA,58771,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",4,"['Indie', 'Platformer', 'Adventure', 'Action']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Singleplayer', 'steam-trading-cards']",2018-09-03,3.43,4,30,71,41,380,13,16,7,3,396,9,2018
Day of Infamy,10720,3,"['PC', 'Apple Macintosh', 'Linux']",1,['Steam'],3,"['Shooter', 'Indie', 'Action']","['Includes level editor', 'Includes Source SDK', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Steam Workshop', 'Co-op', 'First-Person', 'FPS', 'Gore', 'Historical', 'Military', 'Multiplayer', 'Online Co-Op', 'Open World', 'Realistic', 'Singleplayer', 'Survival', 'Tactical', 'War', 'World War II', 'Online multiplayer', 'cooperative', 'stats']",2017-03-23,3.93,4,43,77,15,396,10,6,25,4,410,3,2017
The Sinking City,58811,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store', 'Epic Games']",2,"['Adventure', 'Action']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Detective', 'Gore', 'Horror', 'Lovecraftian', 'Noir', 'Singleplayer', 'Thriller', 'Violent', 'role-playing']",2019-06-25,3.23,3,110,66,51,107,38,210,38,11,156,6,2019
Kenshi,11587,1,['PC'],2,"['Steam', 'GOG']",5,"['Action', 'RPG', 'Strategy', 'Simulation', 'Indie']","['Includes level editor', 'Alternate History', 'Base Building', 'Steam Workshop', 'Building', 'City Builder', 'Crafting', 'Early Access', 'Management', 'Ninja', 'Open World', 'Post-apocalyptic', 'RPG', 'RTS', 'Sandbox', 'Singleplayer', 'Steampunk', 'Survival', 'in development', 'role-playing']",2018-12-06,4.12,5,57,75,20,368,13,17,20,16,397,12,2018
OneShot,10992,2,"['PC', 'Apple Macintosh']",1,['Steam'],3,"['Casual', 'Indie', 'Adventure']","['2D', 'Partial Controller Support', 'Anime', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Choices Matter', 'Cute', 'Exploration', 'Great Soundtrack', 'Horror', 'Multiple Endings', 'Pixel Graphics', 'Replay Value', 'RPG', 'RPGMaker', 'Singleplayer', 'Story Rich', 'Surreal', 'RPG Maker', 'steam-trading-cards']",2016-12-08,4.13,4,84,84,33,302,80,17,11,8,390,12,2016
Override: Mech City Brawl,59059,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Indie', 'Action']","['Full controller support', 'Steam Achievements', ""Beat 'em up"", 'Co-op', 'Local Co-Op', 'Local Multiplayer', 'Mechs', 'Multiplayer', 'Online Co-Op', 'Singleplayer', 'Split Screen', 'Online multiplayer', 'cooperative']",2018-12-04,3.0,4,10,64,27,409,1,4,7,1,411,12,2018
Darksiders Genesis,324994,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",3,"['Adventure', 'Action', 'RPG']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Co-op', 'Gore', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Online Co-Op', 'RPG', 'Singleplayer', 'Split Screen', 'Online multiplayer', 'cooperative', 'Steam Trading Cards']",2019-12-05,3.65,4,59,76,32,231,38,112,20,16,285,12,2019
World to the West,12146,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",5,"['Adventure', 'Action', 'RPG', 'Indie', 'Platformer']","['Full controller support', 'Action-Adventure', 'Action RPG', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Character Action Game', 'Controller', 'Exploration', 'Funny', 'Retro', 'RPG', 'Singleplayer', 'Story Rich', 'Top-Down', 'achievements', 'steam-trading-cards']",2017-05-04,2.88,3,16,75,43,381,5,3,8,4,390,5,2017
Shantae: Half-Genie Hero,607,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",4,"['Indie', 'Platformer', 'Adventure', 'Action']","['2.5D', '2D', 'Full controller support', 'Anime', 'Steam Achievements', 'Steam Cloud', 'Comedy', 'Cute', 'Fantasy', 'Female Protagonist', 'Funny', 'Great Soundtrack', 'Hand-drawn', 'Kickstarter', 'Memes', 'Metroidvania', 'Side Scroller', 'Singleplayer', 'steam-trading-cards']",2016-12-20,3.96,4,92,76,17,304,63,28,23,9,376,12,2016
Sayonara Wild Hearts,274757,6,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'Nintendo Store']",1,['Indie'],"['Music', 'Dreams', 'Swords', 'death', 'dance', 'balance', 'lasers']",2019-09-19,4.41,5,124,85,11,184,127,95,14,12,323,9,2019
Marvel vs. Capcom: Infinite,11831,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Action', 'Fighting']","['2D Fighter', 'Anime', 'Comic Book', 'Competitive', 'Heist', 'Multiplayer', 'Singleplayer', 'Superhero', 'Online multiplayer']",2017-09-19,3.13,4,97,73,7,358,30,13,32,2,390,9,2017
Beholder 2,51081,8,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Linux', 'Nintendo']",7,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Nintendo Store', 'Google Play']",4,"['Indie', 'Strategy', 'Adventure', 'Simulation']","['Singleplayer', 'Violent']",2018-12-04,3.77,4,43,76,45,333,14,32,15,3,350,12,2018
The Surge 2,58861,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",3,"['Adventure', 'Action', 'RPG']","['Full controller support', 'Action-Adventure', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Cyberpunk', 'Futuristic', 'Hack and Slash', 'Mechs', 'RPG', 'Sci-fi', 'Singleplayer', 'Survival', 'Violent', 'Online multiplayer', '3rd-Person Perspective', 'Souls-like', 'steam-trading-cards']",2019-09-24,3.73,4,50,76,37,224,19,124,31,5,248,9,2019
DEADBOLT,17922,5,"['PC', 'PlayStation', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'GOG', 'Nintendo Store']",2,"['Indie', 'Action']","['2D', 'Includes level editor', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Workshop', 'Blood', 'Difficult', 'Gore', 'Great Soundtrack', 'Horror', 'Pixel Graphics', 'Side Scroller', 'Singleplayer', 'Stealth', 'Vampire', 'Violent', 'Zombies', 'achievements', 'steam-trading-cards']",2016-03-13,3.85,4,52,76,35,343,33,7,18,3,379,3,2016
"Pokémon Sun, Moon",23748,1,['Nintendo'],1,['Nintendo Store'],2,"['Adventure', 'RPG']","['role-playing', 'exclusive', 'true exclusive']",2016-11-18,3.78,4,206,87,23,68,258,14,53,23,349,11,2016
Yakuza 6: The Song of Life,52201,1,['PlayStation'],1,['PlayStation Store'],2,"['Adventure', 'Action']","['exclusive', 'true exclusive']",2016-04-17,4.4,5,96,83,41,203,62,110,8,14,279,4,2016
UnderRail,13861,1,['PC'],2,"['Steam', 'GOG']",2,"['Indie', 'RPG']","['2D', 'Steam Achievements', 'Atmospheric', 'Crafting', 'CRPG', 'Cyberpunk', 'Isometric', 'Open World', 'Pixel Graphics', 'Post-apocalyptic', 'RPG', 'Sci-fi', 'Singleplayer', 'Turn-Based', 'Turn-Based Combat', 'role-playing']",2015-12-17,4.09,5,30,72,32,369,9,12,14,2,380,12,2015
Kingdoms and Castles,22158,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'GOG']",3,"['Strategy', 'Indie', 'Simulation']","['Steam Achievements', 'Building', 'City Builder', 'Medieval', 'Multiplayer', 'Resource Management', 'Sandbox', 'Singleplayer', 'Voxel']",2017-07-20,3.72,4,78,72,13,361,19,11,25,9,389,7,2017
Xenoblade Chronicles 2,43753,1,['Nintendo'],1,['Nintendo Store'],1,['RPG'],"['Anime', 'Open World', 'role-playing', 'exclusive', 'true exclusive']",2017-11-30,4.29,5,167,83,57,55,142,99,32,52,249,11,2017
Decay: The Mare,16709,5,"['PC', 'Xbox', 'iOS', 'Apple Macintosh', 'Linux']",3,"['Steam', 'Xbox Store', 'App Store']",3,"['Indie', 'Adventure', 'Puzzle']","['Steam Achievements', 'Steam Cloud', 'Horror', 'Point & Click', 'Singleplayer', 'steam-trading-cards']",2015-02-13,2.71,3,21,60,25,396,7,0,4,1,404,2,2015
