name,id,number of platforms,platforms,number of stores,stores,number of genres,genres,tags,release date,rating,max rating,rating count,metacritic score,yet,owned,beaten,toplay,dropped,playing,users,month,year
Odallus: The Dark Call,16189,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",3,"['Indie', 'Adventure', 'Action']","['2D', 'Action-Adventure', 'Partial Controller Support', 'Steam Achievements', 'Dark Fantasy', 'Demons', 'Exploration', 'Gore', 'Metroidvania', 'Pixel Graphics', 'Retro', 'Singleplayer', 'steam-trading-cards']",2015-07-14,3.59,4,22,80,38,437,8,8,10,2,447,7,2015
Shiness: The Lightning Kingdom,9656,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",4,"['Indie', 'Adventure', 'Action', 'RPG']","['Full controller support', 'Anime', 'Steam Achievements', 'Steam Cloud', 'Great Soundtrack', 'RPG', 'Singleplayer', 'steam-trading-cards']",2017-04-18,2.8,4,20,68,48,440,0,5,9,0,440,4,2017
Homeworld: Deserts of Kharak,16698,2,"['PC', 'Apple Macintosh']",2,"['Steam', 'GOG']",1,['Strategy'],"['Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Leaderboards', 'Co-op', 'Female Protagonist', 'Futuristic', 'Great Soundtrack', 'Horror', 'Multiplayer', 'RTS', 'Sci-fi', 'Singleplayer', 'Space', 'Story Rich', 'cooperative', 'steam-trading-cards', 'stats']",2016-01-19,3.96,4,52,79,27,427,23,9,12,4,454,1,2016
The Witcher 3: Wild Hunt - Blood and Wine,43252,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",1,['RPG'],"['Blood', 'Horror', 'War', 'love']",2016-05-30,4.73,5,302,92,48,113,276,31,8,26,415,5,2016
Halo Wars 2,8433,2,"['PC', 'Xbox']",1,['Xbox Store'],1,['Strategy'],"['Aliens', 'Multiplayer', 'Sci-fi', 'exclusive', 'w10 exclusive']",2017-02-21,3.85,4,115,79,28,361,45,30,26,11,417,2,2017
Between Me and The Night,19522,2,"['PC', 'Apple Macintosh']",1,['Steam'],3,"['Indie', 'Adventure', 'Action']","['2D', 'Full controller support', 'Steam Achievements', 'Atmospheric', 'Horror', 'Point & Click', 'Singleplayer', 'Surreal', 'steam-trading-cards']",2016-01-22,2.29,1,21,62,22,463,7,2,6,0,470,1,2016
Forza Horizon 2 Presents Fast & Furious,28435,1,['Xbox'],2,"['Xbox Store', 'Xbox 360 Store']",2,"['Racing', 'Action']","['Movie', 'Singleplayer', 'street racing']",2015-03-27,3.8,4,84,61,5,415,59,4,15,1,475,3,2015
Lumo,1601,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",4,"['Indie', 'Platformer', 'Adventure', 'Puzzle']","['Action-Adventure', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Isometric', 'Puzzle-Platformer', 'Retro', 'Singleplayer', 'controller support', 'steam-trading-cards']",2016-05-23,2.57,3,98,77,17,414,9,3,48,1,424,5,2016
Deathtrap,16378,3,"['PC', 'Xbox', 'Apple Macintosh']",3,"['Steam', 'Xbox Store', 'GOG']",5,"['Adventure', 'Action', 'RPG', 'Strategy', 'Indie']","['Full controller support', 'Includes level editor', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Workshop', 'Controller', 'Co-op', 'Destruction', 'Fantasy', 'Horror', 'Isometric', 'Loot', 'Multiplayer', 'Noir', 'RPG', 'Singleplayer', 'Tower Defense', 'achievements', 'cooperative', 'role-playing', 'Epic', 'maze', 'Monsters', 'Traps', 'friends', 'secrets', 'battle', 'ancient', 'hunt', 'fun', 'defense', 'invaders', 'steam-trading-cards']",2015-02-03,3.03,3,36,77,25,443,10,1,12,0,453,2,2015
A Fistful of Gun,17790,1,['PC'],2,"['Steam', 'GOG']",3,"['Shooter', 'Indie', 'Action']","['2D', 'Partial Controller Support', 'Arena Shooter', 'Steam Achievements', 'Bullet Hell', 'Co-op', 'Local Co-Op', 'Multiplayer', 'Pixel Graphics', 'Singleplayer', 'Split Screen', 'Top-Down Shooter', 'Twin Stick Shooter', 'Western', 'cooperative', 'steam-trading-cards']",2015-09-23,2.33,3,15,60,42,437,1,3,8,0,438,9,2015
Maize,11813,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",2,"['Indie', 'Adventure']","['Partial Controller Support', 'Comedy', 'First-Person', 'Funny', 'Horror', 'Point & Click', 'Singleplayer', 'Story Rich', 'Walking Simulator']",2016-11-30,2.69,3,26,65,28,437,14,6,4,2,453,11,2016
Technobabylon,19551,2,"['PC', 'iOS']",3,"['Steam', 'App Store', 'GOG']",3,"['Indie', 'Adventure', 'RPG']","['Commentary available', 'Steam Achievements', 'Steam Cloud', 'Cyberpunk', 'Female Protagonist', 'Pixel Graphics', 'Point & Click', 'Sci-fi', 'Singleplayer', 'Story Rich', 'steam-trading-cards', 'LGBTQ+']",2015-05-20,4.04,4,26,82,47,406,19,15,3,0,425,5,2015
The Warlock of Firetop Mountain,2138,4,"['PC', 'iOS', 'Apple Macintosh', 'Linux']",2,"['Steam', 'App Store']",5,"['Adventure', 'Action', 'RPG', 'Indie', 'Board Games']","['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Board Game', 'Choose Your Own Adventure', 'RPG', 'Singleplayer', 'steam-trading-cards']",2016-08-30,2.95,4,19,70,44,434,3,1,7,0,437,8,2016
Whispers of a Machine,272483,3,"['PC', 'iOS', 'Apple Macintosh']",3,"['Steam', 'App Store', 'GOG']",3,"['Indie', 'Adventure', 'Puzzle']","['2D', 'Steam Achievements', 'Atmospheric', 'Detective', 'Female Protagonist', 'Noir', 'Pixel Graphics', 'Point & Click', 'Sci-fi', 'Singleplayer']",2019-04-16,3.31,4,13,77,40,422,9,13,3,0,431,4,2019
Redout: Lightspeed Edition,10993,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",6,"['Racing', 'Action', 'Casual', 'Arcade', 'Simulation', 'Indie']","['Full controller support', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Colorful', 'Difficult', 'Fast-Paced', 'Flight', 'Futuristic', 'Great Soundtrack', 'Multiplayer', 'Sci-fi', 'Singleplayer', 'Split Screen', 'VR', 'Online multiplayer']",2016-09-02,3.72,4,39,81,15,426,8,10,21,7,441,9,2016
They Are Billions,23613,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'GOG']",2,"['Strategy', 'Indie']","['Steam Achievements', 'Steam Cloud', 'Base Building', 'Building', 'City Builder', 'Isometric', 'Management', 'Post-apocalyptic', 'Real-Time with Pause', 'Resource Management', 'RTS', 'Singleplayer', 'Steampunk', 'Survival', 'Tactical', 'Tower Defense', 'Zombies']",2017-12-12,4.1,4,102,74,16,366,25,25,36,18,409,12,2017
Road to Ballhalla,10668,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",4,"['Racing', 'Adventure', 'Action', 'Indie']","['Full controller support', 'Includes level editor', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Workshop', 'Dark Humor', 'Difficult', 'Music', 'Rhythm', 'Singleplayer']",2016-08-05,2.84,4,19,75,24,449,3,0,8,2,454,8,2016
Observation,251596,3,"['PC', 'PlayStation', 'Xbox']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Epic Games']",2,"['Indie', 'Adventure']","['Full controller support', 'Singleplayer']",2019-05-21,3.94,4,102,77,37,209,79,139,11,9,297,5,2019
Pneuma: Breath of Life,2820,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",3,"['Indie', 'Adventure', 'Puzzle']","['Captions available', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'First-Person', 'Great Soundtrack', 'Narration', 'Singleplayer', 'VR', 'steam-trading-cards']",2015-02-27,2.91,3,54,63,14,405,39,3,20,0,444,2,2015
Forts,9849,1,['PC'],1,['Steam'],2,"['Strategy', 'Action']","['2D', 'Includes level editor', 'Steam Achievements', 'Steam Leaderboards', 'Base Building', 'Steam Workshop', 'Building', 'Co-op', 'Free to Play', 'Multiplayer', 'Online Co-Op', 'Physics', 'RTS', 'Sandbox', 'Singleplayer', 'Online multiplayer', 'cooperative', 'stats']",2017-04-19,3.05,4,21,74,36,426,3,2,10,1,430,4,2017
Halo Wars: Definitive Edition,22041,2,"['PC', 'Xbox']",2,"['Steam', 'Xbox Store']",1,['Strategy'],"['Captions available', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Classic', 'Co-op', 'Great Soundtrack', 'Multiplayer', 'Online Co-Op', 'RTS', 'Sci-fi', 'Singleplayer', 'War', 'Online multiplayer', 'cooperative', 'steam-trading-cards']",2017-04-20,3.74,4,93,81,23,358,49,21,18,8,415,4,2017
Jump Force,58757,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",3,"['Action', 'RPG', 'Fighting']","['Full controller support', 'Anime', 'Steam Achievements', 'Atmospheric', ""Beat 'em up"", 'Character Customization', 'Horror', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'RPG', 'Singleplayer', 'Split Screen', 'Online multiplayer', 'Role Playing Game', '3rd-Person Perspective']",2019-02-15,2.37,3,92,59,8,355,15,34,54,10,380,2,2019
