game,developer,number of devs,rating,rating count,metacritic,first dev
Dungeons 2,"['Kalypso Media', 'Realmforge Studios']",2,2.83,178,70,Kalypso Media
Dead by Daylight,"['Behaviour Digital Inc.', 'Behaviour Interactive']",2,3.45,461,72,Behaviour Digital Inc.
Forza Horizon 4,['Playground Games'],1,4.33,772,90,Playground Games
Saints Row: Gat Out of Hell,"['Deep Silver', 'High Voltage Software', 'Volition']",3,3.07,433,66,Deep Silver
Little Nightmares,"['BANDAI NAMCO Entertainment America Inc.', 'Tarsier Studios']",2,4.11,518,81,BANDAI NAMCO Entertainment America Inc.
Furi,['The Game Bakers'],1,3.83,455,76,The Game Bakers
Dark Souls: Remastered,"['FromSoftware', 'QLOC']",2,4.39,683,84,FromSoftware
The LEGO NINJAGO Movie Video Game,"[""Traveller's Tales"", 'Warner Bros. Interactive']",2,3.29,59,70,Traveller's Tales
Steep,"['Ubisoft', 'Ubisoft Annecy', 'Ubisoft Kiev', 'Ubisoft Montpellier']",4,3.42,574,72,Ubisoft
Mass Effect: Andromeda,['BioWare'],1,3.23,685,73,BioWare
Sniper Elite 4,['Rebellion'],1,3.51,397,78,Rebellion
Stellaris,['Paradox Development Studio'],1,4.23,383,78,Paradox Development Studio
Enter the Gungeon,"['Devolver Digital', 'Dodge Roll']",2,4.2,534,84,Devolver Digital
A Way Out,"['Electronic Arts', 'Hazelight']",2,4.08,690,78,Electronic Arts
Frostpunk,['11 Bit Studios'],1,4.19,432,85,11 Bit Studios
HELLDIVERS,['Arrowhead Game Studios'],1,3.57,412,83,Arrowhead Game Studios
Yakuza Kiwami,['Ryu ga Gotoku Studio'],1,4.03,429,83,Ryu ga Gotoku Studio
Dirty Bomb,['Splash Damage®'],1,2.79,248,63,Splash Damage®
Super Mario Odyssey,['Nintendo'],1,4.44,1131,97,Nintendo
Crypt of the NecroDancer,"['Brace Yourself Games', 'BRACE YOURSELF GAMES INC.']",2,4.08,366,87,Brace Yourself Games
SpeedRunners,"['DoubleDutch Games', 'tinyBuild']",2,3.76,289,84,DoubleDutch Games
The Surge,"['Deck13', 'Focus Home Interactive']",2,3.22,380,72,Deck13
TERA,"['Bluehole, Inc.', 'En Masse Entertainment, Inc.']",2,2.91,286,77,"Bluehole, Inc."
Warhammer: End Times - Vermintide,['Fatshark'],1,3.53,294,79,Fatshark
Snake Pass,['Sumo Digital'],1,3.35,140,71,Sumo Digital
Gris,['Nomada Studio'],1,4.27,465,83,Nomada Studio
A Plague Tale: Innocence,"['Asobo Studio', 'Focus Home Interactive']",2,4.2,433,82,Asobo Studio
Her Story,['Sam Barlow'],1,4.04,375,88,Sam Barlow
Grim Dawn,['Crate Entertainment'],1,3.95,321,83,Crate Entertainment
Gears 5,['The Coalition'],1,3.93,398,83,The Coalition
Beholder,"['Alawar Entertainment', 'Warm Lamp Games']",2,3.76,331,75,Alawar Entertainment
Shadow Warrior 2,"['Devolver Digital', 'Flying Wild Hog']",2,3.52,355,78,Devolver Digital
This is the Police,"['HandyGames', 'THQ Nordic', 'Weappy Studio']",3,3.9,398,66,HandyGames
Titan Souls,"['Acid Nerve', 'Devolver Digital']",2,3.35,286,74,Acid Nerve
Days Gone,['SIE Bend Studio'],1,3.91,399,71,SIE Bend Studio
Day of the Tentacle Remastered,['Double Fine Productions'],1,3.68,263,86,Double Fine Productions
ARK: Survival Evolved,"['Efecto Studios', 'Instinct Games', 'Studio Wildcard', 'Virtual Basement LLC', 'WILDCARD PROPERTIES']",5,3.12,256,70,Efecto Studios
Red Faction Guerrilla Re-Mars-tered,"['Kaiko', 'THQ Nordic', 'Volition']",3,3.48,190,70,Kaiko
Fractured Space,['Edge Case Games Ltd.'],1,2.56,112,79,Edge Case Games Ltd.
Warhammer: Vermintide 2,['Fatshark'],1,3.7,356,82,Fatshark
"Invisible, Inc.",['Klei Entertainment'],1,3.47,247,82,Klei Entertainment
Need for Speed,['Ghost Games'],1,3.31,481,66,Ghost Games
Aegis Defenders,"['GUTS Department', 'Humble Bundle, Inc.']",2,2.97,39,76,GUTS Department
Gwent: The Witcher Card Game,"['CD PROJEKT RED', 'CD PROJEKT SA']",2,3.68,516,80,CD PROJEKT RED
RUINER,"['Devolver Digital', 'Reikon Games']",2,3.75,356,78,Devolver Digital
The Last Guardian,"['Sony Interactive Entertainment', 'Team Ico', 'SIE Japan Studio']",3,4.12,478,82,Sony Interactive Entertainment
Hyper Light Drifter,"['Heart Machine', 'Heart Machine LLC', 'Abylight S.L.']",3,4.19,339,84,Heart Machine
South Park: The Fractured but Whole,['Ubisoft San Francisco'],1,4.05,487,80,Ubisoft San Francisco
Slay the Spire,"['Mega Crit Games', 'Mega Crit', 'Humble Bundle']",3,4.38,482,87,Mega Crit Games
Injustice 2,"['NetherRealm Studios', 'QLOC', 'Warner Bros. Interactive']",3,3.99,547,88,NetherRealm Studios
Kerbal Space Program,['Squad'],1,4.18,235,88,Squad
Plague Inc: Evolved,['Ndemic Creations'],1,3.98,337,80,Ndemic Creations
Outlast 2,['Red Barrels'],1,3.68,300,76,Red Barrels
Hellblade: Senua's Sacrifice VR Edition,['Ninja Theory'],1,3.92,141,87,Ninja Theory
Elite Dangerous,"['Frontier Developments', 'Frontier Developments PLC']",2,4.0,259,80,Frontier Developments
Far Cry Primal,['Ubisoft'],1,3.63,423,74,Ubisoft
Borderlands 3,"['2K', 'Gearbox Software']",2,3.96,303,80,2K
PAC-MAN CHAMPIONSHIP EDITION 2,['Bandai Namco Entertainment'],1,3.51,68,77,Bandai Namco Entertainment
The Evil Within 2,"['Bethesda Softworks', 'Tango Gameworks']",2,4.09,442,82,Bethesda Softworks
Mortal Kombat 11,"['NetherRealm Studios', 'QLOC', 'Shiver Games', 'Warner Bros. Interactive']",4,3.97,427,82,NetherRealm Studios
OKAMI HD / 大神 絶景版,['Capcom'],1,4.15,228,92,Capcom
Shadow Tactics: Blades of the Shogun,"['Daedalic Entertainment', 'Mimimi Productions']",2,4.19,219,85,Daedalic Entertainment
Serial Cleaner,"['Curve Digital', 'iFun4all S.A.', 'East2west Network Tech. Co. Ltd.']",3,3.2,79,72,Curve Digital
DISTRAINT,['Jesse Makkonen'],1,3.01,154,76,Jesse Makkonen
Sea of Thieves,['Rare'],1,3.57,424,68,Rare
>observer_,['Bloober Team S.A.'],1,3.9,274,77,Bloober Team S.A.
FIFA 18,"['Electronic Arts', 'Electronic Arts Canada']",2,3.42,462,79,Electronic Arts
Mirage: Arcane Warfare,['Torn Banner Studios'],1,2.24,127,74,Torn Banner Studios
Disco Elysium,['ZA/UM'],1,4.26,182,91,ZA/UM
Tom Clancy's Ghost Recon Wildlands,"['Reflections', 'Ubisoft', 'Ubisoft Annecy', 'Ubisoft Bucharest', 'Ubisoft Milan', 'Ubisoft Montpellier', 'Ubisoft Paris']",7,3.59,425,72,Reflections
Ashes of the Singularity: Escalation,"['Oxide Games', 'Stardock Entertainment']",2,2.38,24,81,Oxide Games
Dishonored: Death of the Outsider,"['Arkane Studios', 'Bethesda Softworks']",2,4.05,318,83,Arkane Studios
TEKKEN 7,"['BANDAI NAMCO Entertainment America Inc.', 'Bandai Namco Entertainment']",2,4.06,404,82,BANDAI NAMCO Entertainment America Inc.
My Friend Pedro,"['DeadToast Entertainment', 'Deadtoast']",2,3.86,331,76,DeadToast Entertainment
Into the Breach,['Subset Games'],1,4.31,476,90,Subset Games
Hand of Fate,['Defiant Development'],1,3.71,228,78,Defiant Development
Wasteland 2: Director's Cut,['InXile Entertainment'],1,3.61,199,87,InXile Entertainment
Full Throttle Remastered,"['Double Fine Productions', 'Shiny Shoe']",2,4.02,276,77,Double Fine Productions
Street Fighter V,"['Capcom', 'Capcom U.S.A., Inc.']",2,3.71,235,74,Capcom
EA SPORTS FIFA 17,"['Electronic Arts', 'Electronic Arts Canada']",2,3.3,350,85,Electronic Arts
Punch Club,"['Lazy Bear Games', 'tinyBuild']",2,3.66,241,73,Lazy Bear Games
Bulletstorm: Full Clip Edition,['People Can Fly'],1,3.85,375,76,People Can Fly
Crash Bandicoot N. Sane Trilogy,"['Activision', 'Toys for Bob', 'Vicarious Visions', 'Iron Galaxy']",4,4.12,286,81,Activision
Absolver,"['Devolver Digital', 'Sloclap']",2,2.84,291,69,Devolver Digital
Kingdom: New Lands,"['Licorice', 'Noio', 'Raw Fury']",3,3.84,232,80,Licorice
Apotheon,"['Alientrap', 'Alientrap Games Inc', 'Alientrap Games']",3,3.17,242,78,Alientrap
Everybody's Gone to the Rapture,"['Sony Interactive Entertainment', 'The Chinese Room']",2,3.36,348,76,Sony Interactive Entertainment
Gears of War 4,['The Coalition'],1,3.92,425,85,The Coalition
Spyro Reignited Trilogy,"['Activision', 'Toys for Bob', 'Iron Galaxy']",3,4.15,236,80,Activision
Downwell,"['Devolver Digital', 'Moppin']",2,3.89,321,81,Devolver Digital
Lovers in a Dangerous Spacetime,"['Asteroid Base Inc', 'Asteroid Base', 'Asteroid Base Inc.']",3,3.54,268,80,Asteroid Base Inc
Tricky Towers,"['WeirdBeard', 'WEIRDBEARD B.V.', 'Marcus Dobler Applications UG (haftungsbeschränkt)']",3,3.6,272,80,WeirdBeard
Shadowrun: Hong Kong - Extended Edition,['Harebrained Schemes'],1,3.8,154,81,Harebrained Schemes
Pyre,['Supergiant Games'],1,4.21,310,84,Supergiant Games
OlliOlli2: Welcome to Olliwood,"['Roll7', 'Roll 7']",2,3.32,199,82,Roll7
Tom Clancy’s The Division 2,"['Massive Entertainment', 'Ubisoft']",2,3.79,424,83,Massive Entertainment
Battlefield Hardline,"['Electronic Arts', 'Visceral Games', 'Electronic Arts DICE']",3,3.19,375,72,Electronic Arts
Vampyr,"['DONTNOD Entertainment', 'Focus Home Interactive', 'Saber Interactive', 'DONTNOD']",4,3.51,385,70,DONTNOD Entertainment
NBA 2K16,"['2K', 'Visual Concepts']",2,2.96,234,86,2K
The Turing Test,"['Bulkhead Interactive', 'BULKHEAD INTERACTIVE LIMITED']",2,3.58,193,74,Bulkhead Interactive
A Hat in Time,"['Gears for Breakfast', 'Humble Bundle, Inc.']",2,4.35,291,77,Gears for Breakfast
Kingdom Hearts III,['Square Enix'],1,3.83,342,82,Square Enix
Tyranny,['Obsidian Entertainment'],1,4.11,273,80,Obsidian Entertainment
Mutant Year Zero: Road to Eden,"['Funcom Oslo A/S', 'The Bearded Ladies Consulting', 'The Bearded Ladies']",3,3.79,306,78,Funcom Oslo A/S
Battlefield V,"['Electronic Arts', 'Electronic Arts DICE', 'Uprise']",3,3.57,434,77,Electronic Arts
Moonlighter,"['11 Bit Studios', 'Digital Sun']",2,3.83,241,80,11 Bit Studios
Owlboy,"['D-Pad Studio', 'D-Pad Studios']",2,3.8,221,88,D-Pad Studio
Resident Evil HD Remaster,['Capcom'],1,4.25,294,82,Capcom
Kathy Rain,"['Clifftop Games', 'Raw Fury']",2,2.76,90,77,Clifftop Games
Darksiders III,"['Gunfire Games', 'THQ Nordic']",2,3.42,287,68,Gunfire Games
Portal Knights,"['505 Games', 'Keen Games']",2,3.02,246,72,505 Games
Life is Strange 2,['DONTNOD Entertainment'],1,3.81,301,76,DONTNOD Entertainment
The Banner Saga 2,"['Stoic', 'Versus Evil']",2,4.18,221,82,Stoic
Faeria,['Abrakam SA'],1,2.92,139,80,Abrakam SA
Mini Metro,"['Dinosaur Polo Club', 'Playdigious', 'Radial Games']",3,4.1,280,77,Dinosaur Polo Club
Pathologic Classic HD,"['General Arcade', 'Ice-Pick Lodge']",2,3.87,131,76,General Arcade
Keep Talking and Nobody Explodes,"['Steel Crate Games', 'STEEL CRATE GAMES, INC.']",2,4.24,223,67,Steel Crate Games
DiRT Rally 2.0,['Codemasters'],1,3.5,107,83,Codemasters
Two Point Hospital,"['Two Point Studios', 'GAMESDROP LTD']",2,3.78,183,84,Two Point Studios
EA SPORTS FIFA 16,"['Electronic Arts', 'Electronic Arts Canada']",2,3.27,286,79,Electronic Arts
FIFA 19,['Electronic Arts Vancouver'],1,3.38,400,80,Electronic Arts Vancouver
Horizon Chase Turbo,['Aquiris Game Studio'],1,3.33,208,78,Aquiris Game Studio
Crossout,['Targem Games'],1,2.85,247,68,Targem Games
Halo 5: Guardians,['343 Industries'],1,3.77,338,84,343 Industries
Fallout 76,['Bethesda Game Studios'],1,2.54,283,51,Bethesda Game Studios
Divide By Sheep,"['Denis Novikov', 'tinyBuild', 'Victor Solodilov']",3,2.46,93,83,Denis Novikov
SteamWorld Heist,"['Image & Form', 'Image & Form International AB']",2,3.96,191,81,Image & Form
ZOMBI,"['Straight Right', 'Ubisoft']",2,2.83,252,65,Straight Right
Night in the Woods,"['Finji', 'Infinite Fall', 'bombsfall', 'InfiniteAmmo']",4,4.3,356,88,Finji
Surviving Mars,"['Haemimont Games', 'Paradox Interactive']",2,3.71,199,75,Haemimont Games
RAGE 2,"['Avalanche Studios', 'id Software']",2,3.19,362,71,Avalanche Studios
LET IT DIE,"['Gungho Online', 'Grasshopper Manufacture', 'SUPERTRICK  GAMES,Inc.']",3,3.08,230,72,Gungho Online
Gran Turismo Sport,['Polyphony Digital'],1,3.98,394,75,Polyphony Digital
Forza Horizon 3,['Playground Games'],1,4.34,419,88,Playground Games
Project CARS,['Slightly Mad Studios'],1,3.53,162,83,Slightly Mad Studios
Sherlock Holmes: The Devil's Daughter,['Frogwares'],1,3.71,162,65,Frogwares
Victor Vran,['Haemimont Games'],1,3.38,155,75,Haemimont Games
Return Of The Obra Dinn,"['3909', 'Lucas Pope', 'dukope']",3,4.32,337,88,3909
Super Smash Bros. Ultimate,"['Nintendo', 'Bandai Namco Entertainment', 'Sora Ltd.']",3,4.37,692,93,Nintendo
Graveyard Keeper,"['Lazy Bear Games', 'tinyBuild']",2,3.68,196,68,Lazy Bear Games
Ni no Kuni II: Revenant Kingdom,"['BANDAI NAMCO Entertainment America Inc.', 'Level 5']",2,3.89,288,82,BANDAI NAMCO Entertainment America Inc.
Tearaway Unfolded,['Media Molecule'],1,3.72,263,81,Media Molecule
Call of Duty: Black Ops 4,"['Beenox', 'Raven Software', 'Treyarch']",3,3.51,349,84,Beenox
Blasphemous,['The Game Kitchen'],1,4.01,152,77,The Game Kitchen
The Final Station,"['Andrey Rumak', 'Do My Best', 'Oleg Sergeev', 'tinyBuild']",4,3.84,215,76,Andrey Rumak
Not A Hero,"['Devolver Digital', 'Roll7', 'Roll 7']",3,3.29,178,75,Devolver Digital
Slime Rancher,"['Monomi Park', 'Monomi Park, LLC']",2,3.79,234,81,Monomi Park
Nuclear Throne,['Vlambeer'],1,4.08,170,88,Vlambeer
Pony Island,['Daniel Mullins Games'],1,4.03,187,86,Daniel Mullins Games
The Escapists,"['Mouldy Toof Studios', 'Team17 Digital']",2,3.45,143,71,Mouldy Toof Studios
Fortified,['Clapfoot'],1,2.07,102,66,Clapfoot
