game,developer,number of devs,rating,rating count,metacritic,first dev
The Next Penelope,"['Aurelien Regard', 'Seaven Studio', 'Aurélien REGARD']",3,3.25,8,82,Aurelien Regard
My Memory of Us,"['Crunching Koalas', 'IMAGINATION S.C.', 'Juggler Games']",3,3.75,12,70,Crunching Koalas
The Charnel House Trilogy,['Owl Cave'],1,3.5,10,68,Owl Cave
8-Bit Armies,"['Petroglyph', 'SOEDESCO Publishing', 'Petroglyph Games']",3,3.43,14,69,Petroglyph
NARUTO TO BORUTO: SHINOBI STRIKER,"['BANDAI NAMCO Entertainment America Inc.', 'Soleil Ltd.']",2,3.04,28,62,BANDAI NAMCO Entertainment America Inc.
Shu,"['Coatsink', 'Coatsink Software Ltd', 'Secret Lunch', 'Coatsink Software']",4,3.12,8,85,Coatsink
Atelier Sophie: The Alchemist of the Mysterious Book,"['KOEI TECMO America', 'Koei Tecmo']",2,3.92,24,73,KOEI TECMO America
Dawn of Man,['Madruga Works'],1,3.5,32,74,Madruga Works
The Metronomicon: Slay the Dance Floor,"['Akupara Games', 'Puuba', 'Akupara Games, LLC']",3,3.08,13,79,Akupara Games
Good Robot,['Pyrodactyl'],1,3.33,5,67,Pyrodactyl
Calvino Noir,"['Calvino Noir Limited', 'Calvino Noir Ltd']",2,3.5,8,55,Calvino Noir Limited
Starlink: Battle for Atlas,['Ubisoft Toronto'],1,3.86,26,74,Ubisoft Toronto
Tokyo Xanadu eX+,"['Aksys Games', 'Nihon Falcom Corporation']",2,3.57,23,75,Aksys Games
The Fidelio Incident,"['Act 3 Games, LLC']",1,3.32,18,69,"Act 3 Games, LLC"
Steel Division: Normandy 44,['Eugen Systems'],1,3.93,15,83,Eugen Systems
Perception,"['The Deep End Games', 'WFH GAMES SP. Z O.O.']",2,3.54,13,56,The Deep End Games
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,['Purple Lamp Studios'],1,3.45,19,69,Purple Lamp Studios
Persona 3: Dancing in Moonlight,"['Atlus U.S.A., Inc.', 'P Studio']",2,3.91,34,73,"Atlus U.S.A., Inc."
Splendor,"['Asmodee Digital', 'Days of Wonder', 'Plug In Digital']",3,3.83,5,76,Asmodee Digital
Monster Boy and the Cursed Kingdom,"['FDG Entertainment GmbH & Co.KG', 'Game Atelier']",2,3.91,34,85,FDG Entertainment GmbH & Co.KG
American Fugitive,['Fallen Tree Games'],1,3.05,22,66,Fallen Tree Games
Phoning Home,['ION LANDS'],1,2.73,11,61,ION LANDS
Valfaris,['Steel Mantis'],1,3.62,24,81,Steel Mantis
Space Colony,['FireFly Studios'],1,4.38,8,74,FireFly Studios
428: Shibuya Scramble,"['Abstraction Games', 'Spike Chunsoft Co., Ltd.', 'Spike Chunsoft, Inc.']",3,4.44,18,85,Abstraction Games
AKIBA'S TRIP: Undead ＆ Undressed,"['ACQUIRE Corp.', 'XSEED JKS Inc']",2,3.3,20,59,ACQUIRE Corp.
Reventure,['Pixelatto'],1,4.0,18,83,Pixelatto
STEINS;GATE ELITE,['MAGES. Inc.'],1,4.35,20,86,MAGES. Inc.
Realpolitiks,['Jujubee S.A.'],1,3.29,14,55,Jujubee S.A.
STEINS;GATE 0,"['5pb.', 'Nitroplus']",2,4.14,36,81,5pb.
Dark Devotion,['Hibernian Workshop'],1,3.36,21,70,Hibernian Workshop
Audioshield,['Dylan Fitterer'],1,3.83,12,81,Dylan Fitterer
Fire Emblem Echoes: Shadows of Valentia,"['Intelligent Systems', '8-4']",2,4.32,49,81,Intelligent Systems
The Franz Kafka Videogame,['Denis Galanin (mif2000)'],1,3.43,20,65,Denis Galanin (mif2000)
Crookz - The Big Heist,"['Kalypso Media', 'Skilltree Studios']",2,3.0,7,74,Kalypso Media
Lethis - Path of Progress,"['Triskell Interactive', 'Triskell Interactice', 'Triskell-Interactive']",3,3.41,17,65,Triskell Interactive
Hatoful Boyfriend: Holiday Star,"['Devolver Digital', 'Mediatonic', 'The Irregular Corporation']",3,3.78,9,54,Devolver Digital
Nights of Azure,"['KOEI TECMO America', 'Koei Tecmo']",2,3.4,20,64,KOEI TECMO America
DESYNC,['The Foregone Syndicate'],1,4.0,6,69,The Foregone Syndicate
Children of Zodiarcs,"['Cardboard Utopia', 'Square Enix']",2,3.42,11,81,Cardboard Utopia
Crashday Redline Edition,['Moonbyte'],1,3.5,20,63,Moonbyte
Bombshell,"['Interceptor Entertainment', 'Denki Gaka']",2,2.6,9,43,Interceptor Entertainment
LA Cops,"['Modern Dream', 'Team17 Digital']",2,2.83,12,45,Modern Dream
Shardlight,"['Wadjet Eye Games', 'Wadjet Eye Games LLC']",2,3.94,16,75,Wadjet Eye Games
Castle In The Darkness,"['Matt Kap', 'Nicalis']",2,3.25,12,76,Matt Kap
Unruly Heroes,"['Magic Design Studios', 'MAGIC DESIGN STUDIOS SAS']",2,3.65,25,77,Magic Design Studios
WHAT THE GOLF?,['Triband'],1,4.18,55,82,Triband
Star Control: Origins,['Stardock Entertainment'],1,3.0,11,75,Stardock Entertainment
Ring Fit Adventure,['Nintendo'],1,4.32,38,83,Nintendo
Grandia II Anniversary Edition,"['GAME ARTS Co., Ltd.']",1,3.71,14,80,"GAME ARTS Co., Ltd."
Bohemian Killing,['The Moonwalls'],1,3.17,6,55,The Moonwalls
Cities XXL,['Focus Home Interactive'],1,3.54,13,47,Focus Home Interactive
The Hong Kong Massacre,"['VRESKI', 'Vreski AB']",2,3.44,25,70,VRESKI
Fire Emblem Fates: Conquest,['Intelligent Systems'],1,3.71,57,87,Intelligent Systems
OVIVO,"['Sometimes You', 'IzHard', 'Evgeniy Kolpakov t/a Sometimes You', 'Alex Vilassak']",4,3.91,11,71,Sometimes You
Police Stories,"['Morgan Games', 'Mighty Morgan']",2,3.21,19,75,Morgan Games
Batman: Return to Arkham,['Warner Bros. Interactive'],1,4.42,50,75,Warner Bros. Interactive
Starpoint Gemini Warlords,['Little Green Men Games'],1,2.33,9,74,Little Green Men Games
Planar Conquest,"['Shortbreak Studios', 'Wastelands Interactive']",2,2.71,7,53,Shortbreak Studios
The Guest,['Team Gotham'],1,3.67,9,68,Team Gotham
Attack on Titan 2,"['KOEI TECMO America', 'Koei Tecmo']",2,3.86,28,75,KOEI TECMO America
7th Sector,['Носков Сергей'],1,3.92,13,74,Носков Сергей
